WDID,AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
9 000000175,SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
9000003903,San Clemente City,City of San Clemente WRP,,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
9 000000175,SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
9 000000175,SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,CA0107417,amended_order_sjcoo signed dwg 03-19-25.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
5A340108002,Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,CA0077682,r5-2021-0019-01_npdes.pdf,Yes,,PRESENT,,,,PRESENT,,FUTURE,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,
9000003903,Sacramento Regional County Sanitation District (Regional San),EchoWater Resource Recovery Facility,,r5-2021-0019-01_npdes.pdf,Yes,,PRESENT,,,,PRESENT,,FUTURE,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,
5A340114001,Sacramento City,Sac City Combined WW Collection/TRT Sys,CA0079111,r5-2026-0003_npdes.pdf,No,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
1B85017RHUM,Samoa Pacific Group LLC,Samoa Pacific WWTP (Samoa Town Site),CA1000001,20_0005_Samoa WWTF_NPDES.pdf,No,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,
9000003903,San Bernardino City Municipal Water Dept,Margaret H Chandler WWRF,,R8-2017-0049_SBMWDWRF.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,
9 000003607,San Diego City Metropolitan Wastewater Dept (Public Utilities),City of San Diego North City Pure Water Facility,CA0109398,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
9000003903,San Diego City Metropolitan Wastewater Dept (Public Utilities),North City WRP,,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
9000003903,San Elijo Joint Powers,San Elijo Water Campus,,CA0107999_OrderR920180003.pdf,Yes,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,PRESENT,,,,,
2 417032001,San Francisco International Airport,SF Arprt Mel Leong TP-Industrl,CA0038318,SFO Aiport NPDES Permit Order R2-2025-0002.pdf,Yes,,,,,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,FUTURE,,,,FUTURE,,,,PRESENT,PRESENT,FUTURE,FUTURE,PRESENT,,FUTURE,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
2 417032001,San Francisco International Airport,SF Airport Mel Leong TP-Sanitary Waste,CA0038318,SFO Aiport NPDES Permit Order R2-2025-0002.pdf,Yes,,,,,,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,FUTURE,,,,FUTURE,,,,PRESENT,PRESENT,FUTURE,FUTURE,PRESENT,,FUTURE,,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
,San Francisco Public Utilities Commission,"SF-SE Water Pollution Control Plant, N-Point & Bayside",CA0038873,R2-2013-0029.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,FUTURE,,PRESENT,,,,,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
2 386009001,San Francisco Public Utilities Commission,SF - OCEANSIDE Water Pollution Control Plant,CA0037681,R2-2019-0028.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,
2 438014001,San Jose City,San Jose/Santa Clara WPCP,CA0037842,CA0037842 San Jose Order R2-2025-0027.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,PRESENT,,,,,,,PRESENT,FUTURE,,,,PRESENT,,,,PRESENT_AND_FUTURE,,,,PRESENT,,,,,
3 350102001,San Juan Bautista City,San Juan Bautista WWTP,CA0047902,NPDES R3-2009-0019 for San Juan Bautista WWTP.pdf,No,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,FUTURE,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,
2 01NPI441309,San Leandro City,"San Leandro, City of",CA0038881,R2-2022-0006.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,
9000003903,San Leandro City,San Leandro WPCP,,EBDA - R2-2022-0023.pdf,Yes,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,FUTURE,FUTURE,FUTURE,FUTURE,,FUTURE,,,,,,
3 400107001,San Luis Obispo City,San Luis Obispo WWTP,CA0049224,Order R3-2024-0001.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,PRESENT,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,
2 417035001,San Mateo City,San Mateo WWTP,CA0037541,R2-2023-0017.pdf,No,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,
3 400110001,San Simeon CSD,San Simeon WWTP,CA0047961,Order R3-2022-0003_signed.pdf,No,,,,,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,
9000003903,Santa Barbara City PWD,El Estero Water Resource Center NPDES,,El Estero_Final_Permit_2019-0046 pkg eff 2-1-20.pdf,No,,PRESENT,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,
1B83099OSON,Santa Rosa City Dept of Public Works,Santa Rosa Laguna Subregional Water Reclamation Facility,CA0022764,20_0012_SantaRosa-LagunaWWTF_NPDES.pdf,No,,PRESENT,,,,,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,FUTURE,,,PRESENT_AND_FUTURE,PRESENT,,,,,,,,FUTURE,,,,,,,,,,,
2 215023001,Sausalito-Marin City San District,Sausalito Marin City STP,CA0038067,NPDES Order R2-2023-0022.pdf,No,,,,PRESENT,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,,,,,,
9000003903,Scotts Valley,Scotts Valley WWTP,,Scotts Valley WWTP NPDES Permit R3-2013-0001.pdf,No,,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,
7A130111013,Seeley Cnty WD,Seeley CWD WWTP,CA0105023,R7-2023-0003.pdf,No,PRESENT,,,,PRESENT,PRESENT,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,FUTURE,FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,,FUTURE,,,,,,
2 215015001,Sewerage Agency of Southern Marin,Sewerage Agency of Southern Marin (SASM) WWTP,CA0037711,R2-2023-0021.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,PRESENT,,,,,
5A040106001,Sewerage Commission Oroville Region,Sewerage Commission Oroville Region WWTP,CA0079235,r5-2021-0044_npdes.pdf,No,,PRESENT,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,
5A450001005,Shasta CSA #17,Cottonwood WWTP,CA0081507,r5-2024-0026_npdes.pdf,No,PRESENT,,,,PRESENT,PRESENT,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,
5A450105001,Shasta Lake City,Shasta Lake WWTF,CA0079511,r5-2020-0058_npdes.pdf,No,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,
2 417037001,Silicon Valley Clean Water,SVCW WWTP,CA0038369,SVCW Order R2-2023-0003 (1).pdf,No,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT_AND_FUTURE,,,,,PRESENT,,,,,,,,
9000003903,Simi Valley City,Simi Valley WQCP,,3021_R4-2019-0135_WDR_PKG.pdf,No,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
2 494009001,Sonoma County Water Agency (SCWA),Sonoma Valley County SD WWTP,CA0037800,Final Order Sonoma_NPDES permit_Dec 2024.pdf,Yes,,,PRESENT,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,
,Sonoma Valley County Sanitation District,Sonoma Valley County SD WWTP,CA0038873,Final Order Sonoma_NPDES permit_Dec 2024.pdf,Yes,,,PRESENT,,,PRESENT,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,
1B82045OSON,Sonoma County Water Agency (SCWA),SCWA Russian River CSD,CA0024058,21_0002_Russian River CSD and Sonoma Water WWTF NPDES.pdf,No,,,PRESENT,,,PRESENT_AND_FUTURE,PRESENT,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,
9000003903,South County Regional WW Authority,SCRWA WWTP,,SCRWA 2017 adopted.pdf,No,,,PRESENT,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,FUTURE,,,,,PRESENT,,,,,,,,,,,,,FUTURE,FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,
2 417038001,South San Francisco City,South San Francisco-San Bruno WQCP,CA0038130,SSFSB_Order_Finalsigned.pdf,No,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,
9000003903,South San Luis Obispo CSD,South San Luis Obispo SD WWTP,,So_SLO_Order R3-2019-0002_final.pdf,No,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,
2 283014001,St. Helena City,St. Helena City WWTP,CA0038016,st. helena_order r2-2021-0004.pdf,No,PRESENT,,,FUTURE,PRESENT,PRESENT_AND_FUTURE,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,FUTURE,,,FUTURE,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,PRESENT_AND_FUTURE,FUTURE,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,
5D150118002,Stallion Springs CSD,Stallion Springs WWTF,CAC439983,r5-2023-0025-012.pdf,No,,,,,PRESENT,PRESENT,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,
5B390107001,Stockton City,Wastewater Recovery Center,CA0079138,r5-2025-0027_npdes.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,,,,PRESENT,PRESENT,,,,PRESENT,,,,PRESENT,,,,,
3 420111001,Summerland SD,Summerland SD WWTP,CA0048054,R3-2022-0014-(ACC).pdf,No,PRESENT,PRESENT,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,
2 438018001,Sunnyvale City,Sunnyvale WPCP,CA0037621,CA0037621 Sunnyvale Order R2-2020-0002.pdf,No,PRESENT,PRESENT_AND_FUTURE,FUTURE,,,PRESENT_AND_FUTURE,PRESENT,PRESENT,PRESENT,,,,,,FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,PRESENT,,,PRESENT,,,,,,,,,,
9000003903,Susanville SD,Susanville Sanitary District WWTP,,R6T-2008-0022 WDR Susanville CSD.pdf,No,,,PRESENT,,,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
5A520102001,Tehama  Co SD #1,Mineral WWTP,CA0084069,r5-2023-0040_npdes.pdf,No,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
9000003903,Temescal Valley Water District,Temescal Valley WD WWRF,,12-0028_Lee_Lake_Water_Dist_WDR.pdf,No,,,PRESENT,,,PRESENT,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,
9000003903,Thousand Oaks City,Hill Canyon WWTP,,4917_R4-2019-0137_WDR.pdf,No,,PRESENT,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,
5B070105003,Town of Discovery Bay CSD,Discovery Bay WWTP,CA0078590,R5-2024-0068_npdes.pdf,No,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,
5B390108001,Tracy City,Tracy WWTP,CA0079154,r5-2022-0073_npdes.pdf,Yes,,PRESENT_AND_FUTURE,,,,PRESENT,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT,,,,,,,,,
,Treasure Island Development Authority,Treasure Island WWTP/DOD,CA0110116,R2-2020-0020.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
,US Navy Treasure Island,Treasure Island WWTP/DOD,CA0038873,R2-2020-0020.pdf,Yes,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,
5C500108001,Turlock City,"Turlock City, Turlock Regional Water Quality Control Facility",CA0078948,r5-2021-0005_npdes.pdf,Yes,,,PRESENT,,,PRESENT,PRESENT,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,
5A570800001,UC Davis,UC Davis Main WWTP,CA0077895,r5-2021-0007_npdes.pdf,No,,,PRESENT,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,,,,,,,,
7A130703011,US Navy Naval Air Station El Centro,US Navy Naval Air Facility WWTP,CA0104906,R7-2021-0045.pdf,No,,,PRESENT,,,PRESENT,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,
5C220701002,USDI National Park Service Yosemite National Park,El Portal WWTF,CA0081759,r5-2025-0031_npdes.pdf,No,PRESENT,PRESENT,,,,PRESENT,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,FUTURE,,,FUTURE,,,,,,,,,FUTURE,FUTURE,,,,FUTURE,,,,,,
2 071059001,USS-Posco Industries,USS-UPI LLC - NPDES/SUB15,CA0005002,R2-2016-0043.pdf,No,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,
1B84029OMEN,Ukiah City,Ukiah City WWTP,CA0022888,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,,PRESENT_AND_FUTURE,,,,,PRESENT,,,,,
9000003903,Union Sanitary District,Raymond A. Boege Alvarado WWTP (Union SD),,EBDA - R2-2022-0023.pdf,Yes,,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,FUTURE,FUTURE,FUTURE,FUTURE,,FUTURE,,,,,,
5A31NP00001,United Auburn Indian Community,Thunder Valley Casino WWTP,CAC442169,thundervalley_wwtp_mgo_noa.pdf,No,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,
9 000000732,United States Section of the International Boundary and Water Commission (USIBWC),South Bay International WWTP,CA0108928,r9-2021-0001.pdf,No,,PRESENT,,,,PRESENT,PRESENT,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,,,,
5A480105002,Vacaville City DPW,Easterly WWTP,CA0077691,r5-2025-0028_npdes.pdf,No,,PRESENT,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,
2 482012001,Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Vallejo Flood & Wastewater District (VFWD) WWTP,CA0037699,Order R2-2023-0001.pdf,No,,PRESENT,,,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,
7A330122021,Valley Sanitary District,Valley SD WWTP,CA0104477,R7-2026-0003.pdf,No,PRESENT,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,PRESENT_AND_FUTURE,,,,,,,FUTURE,
