WDID,Facility_Name,NPDES_No,CWNS_ID,CWNS_Facility_Name
9000003903,Victor Valley Wastewater Reclamation Authority WTP,CA0102822,06006009001,Victor Valley Regional WWRP
9000003903,West County WW District WPCP,CA0038539,06002057001,West County Plant
9000003903,WRCRWA Regional WWRF,CA8000316,06008016003,Western Riverside Co Reg WWTP
9000003903,Henry N. Wochholz WWRF,,06008019001,Yucaipa Valley WD WWTP
9 000001182,USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,CA0109347,,
9 000000275,Point Loma WWTP & Ocean Outfall,CA0107409,06009031001,Point Loma WRP
8 362918001,IEUA Regional Plant No. 4,CA8000409,06008010004,IEUA Regional Plant No.4
2 019014002,EBMUD SD#1-Wet Wthr Bypass,CA0038440,06000000116,Oakport WWF
2 019014002,EBMUD SD#1-Wet Wthr Bypass,CA0038440,06000000114,Point Isabel WWF
2 019014002,EBMUD SD#1-Wet Wthr Bypass,CA0038440,06000000115,San Antonio Creek WWF
5D100105001,Fresno Regional WWTF,,06005053001,Fresno-Clovis Regional WRF
9000003903,"Colton/San Bernadino STP, RIX",,06000000105,Regional Tertiary Treatment Rapid Infiltration and Extraction Facility
8 332783001,Perris Valley RWRF,,06008006006,Perris Valley Regional WRF
1A84002OSIS,Tulelake City WWTP,CA0023272,06001001001,TULELAKE WWTF
9000003903,US Coast Guard TRACEN - Tomales,,06002060007,Tomales WWTP



