Place ID,order_key,PDF_File,as_of_dates,n_snapshots
210659,416005,2014_0153_dwq.pdf,2026-08-13,1
210685,147482,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
210685,447950,Buellton NOA MRP R3-2020-0020.pdf,2026-08-13,1
210829,194974,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210839,422030,Burlingame - Order No. R2-2018-0024.pdf,2021-06-01;2022-06-01;2023-06-01,3
210839,422030,Nutrient Watershed Permit - R2-2014-0014.pdf,2021-06-01;2022-06-01;2023-06-01,3
210839,422030,R2-2013-0015.pdf,2021-06-01;2022-06-01;2023-06-01,3
210839,453437,Burlingame - Order No. R2-2018-0024.pdf,2024-06-01;2025-06-01;2026-06-01,3
210839,453437,Burlingame R2-2023-0010.pdf,2024-06-01;2025-06-01;2026-06-01;2026-08-13,4
210839,453437,Nutrient Watershed Permit - R2-2014-0014.pdf,2024-06-01;2025-06-01;2026-06-01,3
210839,453437,R2-2013-0015.pdf,2024-06-01;2025-06-01;2026-06-01,3
210854,408490,Combined Burney WDR_Pamela Signatue.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
210913,132157,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
210913,431219,Butte College_noa_WetSignature.pdf,2026-08-13,1
210925,134393,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
210925,422138,Butte Co. CSA 21 NOA_MRP_Tech Memo_Maps.pdf,2026-08-13,1
210972,363736,R5-2009-0002.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212135,408326,4424_R4-2006-0085_FS.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,408326,4424_R4-2006-0085_WDR.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,408326,4424_R4-2010-0058_FS_amd.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,408326,4424_R4-2010-0058_WDR_amd.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,408326,4424_R4-2012-0059_WDR_PKG.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,408326,4424_R4-2017-0064_WDR_PKG.pdf,2021-06-01;2022-06-01;2023-06-01,3
212135,452357,4424_R4-2006-0085_FS.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2006-0085_WDR.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2010-0058_FS_amd.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2010-0058_WDR_amd.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2012-0059_WDR_PKG.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2017-0064_WDR_PKG.pdf,2024-06-01;2025-06-01;2026-06-01,3
212135,452357,4424_R4-2023-0358_WDR_PKG.pdf,2024-06-01;2025-06-01;2026-06-01;2026-08-13,4
212397,135245,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212397,399075,2014_0153_dwq.pdf,2026-08-13,1
212424,321211,R3-2020-0020 NOA Cal Utilities_final.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212424,321211,WDR and MRP R3-2007-0008 CA Utilities Service WWTP.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212424,446382,R3-2020-0020 NOA Cal Utilities_final.pdf,2026-08-13,1
212455,147269,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212455,448164,6-15-22_NOA 0153- Cachuma Sanitation_final_signed.pdf,2026-08-13,1
212585,412822,CA0038776 Pacifica - Final Order R2-2017-0013.pdf,2021-06-01;2022-06-01,2
212585,412822,Pacifica Order R2-2012-0002 .pdf,2021-06-01;2022-06-01,2
212585,449576,CA0038776 Pacifica - Final Order R2-2017-0013.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
