Source,Process,Support_Manual,Support_Pred,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,Missed_Rate,Hallucinated_Rate,State_Accuracy,Level
Keyword,Solids Processing,39,34,30,4,9,4,0.8823529411764706,0.7692307692307693,0.821917808219178,0.723404255319149,0.23076923076923078,0.11764705882352941,0.5897435897435898,Category
Keyword,Septic Tank,0,1,0,1,0,46,0.0,,0.0,0.9787234042553191,,1.0,,Category
LLM,Comminution,11,8,8,0,3,36,1.0,0.7272727272727273,0.8421052631578947,0.9361702127659575,0.2727272727272727,0.0,0.7272727272727273,Category
LLM,Clarification,39,36,35,1,4,7,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.8936170212765957,0.10256410256410256,0.027777777777777776,0.8974358974358975,Category
LLM,Headworks,38,37,36,1,2,8,0.972972972972973,0.9473684210526315,0.96,0.9361702127659575,0.05263157894736842,0.02702702702702703,0.9210526315789473,Category
LLM,Equalization,15,15,11,4,4,28,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8297872340425532,0.26666666666666666,0.26666666666666666,0.7333333333333333,Category
LLM,Flotation,4,7,3,4,1,39,0.42857142857142855,0.75,0.5454545454545454,0.8936170212765957,0.25,0.5714285714285714,0.75,Category
LLM,Activated Sludge,39,37,35,2,4,6,0.9459459459459459,0.8974358974358975,0.9210526315789473,0.8723404255319149,0.10256410256410256,0.05405405405405406,0.8461538461538461,Category
LLM,Lagoon,10,23,8,15,2,22,0.34782608695652173,0.8,0.48484848484848486,0.6382978723404256,0.2,0.6521739130434783,0.7,Category
LLM,Nutrient Removal,18,17,14,3,4,26,0.8235294117647058,0.7777777777777778,0.8,0.851063829787234,0.2222222222222222,0.17647058823529413,0.7777777777777778,Category
LLM,Filtration,35,34,31,3,4,9,0.9117647058823529,0.8857142857142857,0.8985507246376812,0.851063829787234,0.11428571428571428,0.08823529411764706,0.8571428571428571,Category
LLM,Wetland,4,3,3,0,1,43,1.0,0.75,0.8571428571428571,0.9787234042553191,0.25,0.0,0.75,Category
LLM,UV-AOP,0,0,0,0,0,47,,,,1.0,,,,Category
LLM,Coagulation,6,5,4,1,2,40,0.8,0.6666666666666666,0.7272727272727273,0.9361702127659575,0.3333333333333333,0.2,0.6666666666666666,Category
LLM,Flocculation,6,7,6,1,0,40,0.8571428571428571,1.0,0.9230769230769231,0.9787234042553191,0.0,0.14285714285714285,1.0,Category
LLM,Ion Exchange,0,0,0,0,0,47,,,,1.0,,,,Category
LLM,Activated Carbon,0,0,0,0,0,47,,,,1.0,,,,Category
LLM,Disinfection,43,41,40,1,3,3,0.975609756097561,0.9302325581395349,0.9523809523809523,0.9148936170212766,0.06976744186046512,0.024390243902439025,0.9069767441860465,Category
LLM,Chemical Addition,11,13,8,5,3,31,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.8297872340425532,0.2727272727272727,0.38461538461538464,0.7272727272727273,Category
LLM,Solids Processing,39,33,32,1,7,7,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.8297872340425532,0.1794871794871795,0.030303030303030304,0.7692307692307693,Category
LLM,Septic Tank,0,0,0,0,0,47,,,,1.0,,,,Category
